device_id,device_type,vendor,firmware_version,cpu_usage,memory_usage,battery_level,mobility_state,trust_score,operational_state
1,Robot,ABB,v2.0,89.33343125998158,55.581409168954195,64.09279695330977,Mobile,0.49,Normal
2,PLC,Bosch,v1.1,77.37112140833314,32.147610817887454,55.05428905986756,Static,0.99,Normal
3,Sensor,Siemens,v2.0,22.723393720373544,20.245067773837945,87.13443159842389,Mobile,0.53,Normal
4,Robot,Siemens,v2.0,84.10059324473288,58.872982035795744,32.854366776947614,Static,0.48,Fault
5,Robot,Siemens,v1.0,14.891143820265468,65.3948093599248,21.997732969363966,Mobile,0.52,Normal
6,PLC,Siemens,v1.0,74.48322522175128,33.67205078225125,55.92310143441007,Static,0.86,Normal
7,Sensor,Rockwell,v2.0,37.352979945509304,58.36244530167353,38.9982845401806,Mobile,0.66,Normal
8,Sensor,Siemens,v1.0,79.62781723783091,39.63481807086275,23.969149867106996,Mobile,0.74,Normal
9,Robot,Rockwell,v1.1,78.78481865913328,63.49051624619633,77.96786294781032,Static,0.41,Normal
10,Actuator,Rockwell,v1.1,73.5036590099978,24.941145617053984,28.9274399965798,Mobile,0.42,Degraded
11,Robot,Siemens,v1.0,72.15258708610021,76.76612519771308,68.66556000062174,Static,0.67,Normal
12,Robot,Siemens,v1.1,30.897726823333468,31.55571973491848,42.48398001335113,Static,0.89,Normal
13,Robot,ABB,v1.0,11.878139059356435,37.58394908171147,33.87968402840176,Static,0.93,Normal
14,Robot,Bosch,v2.0,39.253315195038724,14.356896406026234,50.380121833545395,Static,0.45,Normal
15,PLC,Siemens,v2.0,19.74958377385324,18.36341592409573,84.11566209783629,Static,0.72,Normal
16,Sensor,ABB,v1.1,64.07084255670924,48.68964270342461,51.367486152365814,Mobile,0.95,Normal
17,PLC,ABB,v1.0,34.418476755711765,30.069450754597863,80.06157193688446,Mobile,0.63,Normal
18,PLC,Bosch,v1.0,87.92686707309277,72.66101693066457,30.038903743932053,Mobile,0.9,Normal
19,PLC,Rockwell,v1.1,59.48262657435322,11.102004149121537,81.82171357320632,Static,0.48,Normal
20,Robot,Siemens,v2.0,74.91084790892069,38.43205365039522,38.95466599253189,Mobile,0.96,Fault
21,Actuator,Bosch,v1.1,16.264597183057116,35.30091600768195,74.19145039110983,Mobile,0.85,Normal
22,Sensor,Siemens,v2.0,78.27123099317292,11.449572318820078,65.26252438727971,Mobile,0.96,Degraded
23,Actuator,ABB,v1.0,83.43436119363852,19.327629925038266,94.33157737693499,Mobile,0.81,Normal
24,PLC,ABB,v2.0,46.40026309960955,41.02320061889765,50.98580143802512,Mobile,0.62,Normal
25,PLC,Rockwell,v1.1,56.53149970883308,46.9648438335585,25.293215106755234,Static,0.96,Normal
26,Actuator,ABB,v1.0,70.00883307675461,40.32173104411518,21.532438844100234,Static,0.57,Normal
27,Actuator,ABB,v1.1,19.86128331713507,49.820325880907035,86.14868487782024,Mobile,0.6,Normal
28,Actuator,Bosch,v1.1,47.71811649939261,54.63487561792611,61.978851012914575,Static,0.82,Normal
29,PLC,Siemens,v2.0,38.88635736064661,10.744286584587673,82.01952414679594,Static,0.86,Normal
30,PLC,Siemens,v1.1,17.441789333791174,44.807136959012794,38.75404800092117,Mobile,0.96,Degraded
31,Sensor,Bosch,v2.0,36.240425894780174,82.26244306656912,47.6066996410587,Mobile,0.52,Normal
32,Sensor,Rockwell,v1.0,10.794646297766953,48.927421009716156,22.408309776905515,Static,0.88,Normal
33,PLC,Siemens,v2.0,7.194012090706394,60.815670059421485,96.91938596592897,Mobile,0.84,Normal
34,Actuator,ABB,v1.0,16.489134578159934,33.38978934376624,73.42943253606506,Static,0.44,Degraded
35,Actuator,Siemens,v2.0,86.86478448507978,68.0493533614572,94.6564070207445,Static,0.63,Normal
36,Sensor,ABB,v1.1,51.710010551076444,67.96911114070863,41.23971259432579,Mobile,0.57,Normal
37,PLC,Rockwell,v2.0,87.0948836980237,49.09720357406042,68.91708889805287,Static,0.58,Normal
38,Sensor,Bosch,v2.0,41.762319658061216,83.20103674594102,74.27999746341102,Static,0.99,Normal
39,Sensor,Siemens,v1.0,31.504371312247063,19.416266107199004,45.403976020607075,Static,0.79,Degraded
40,Robot,Bosch,v1.1,48.022058341420745,11.271074866718575,87.8487388012504,Mobile,0.83,Normal
41,Robot,Siemens,v2.0,42.35849353379736,67.7618658817822,95.77291703201982,Mobile,0.99,Normal
42,Robot,ABB,v1.1,13.981498162248233,70.53666530236619,90.78840941568035,Mobile,0.63,Degraded
43,Actuator,Bosch,v2.0,59.47023674866753,19.01554218404322,79.1253580751498,Mobile,0.88,Normal
44,PLC,Siemens,v2.0,23.363245513315967,29.918712471895457,42.19717437799632,Static,0.66,Normal
45,PLC,ABB,v1.1,57.66497616631551,11.316427252497167,42.529283368450535,Mobile,0.92,Normal
46,PLC,Bosch,v2.0,60.26709285384304,31.99814580854235,97.06882563568303,Mobile,0.51,Normal
47,PLC,Bosch,v1.1,17.92211251593509,67.98564054390036,20.822759674855362,Mobile,0.97,Normal
48,Robot,Siemens,v2.0,10.214718304406794,48.84703957844342,77.28399785937157,Mobile,0.53,Normal
49,Actuator,Siemens,v1.0,71.36473481581739,36.107169487621604,76.49969300442098,Static,0.6,Normal
50,Actuator,Siemens,v1.1,44.083036020392214,37.88044711797477,69.81516327598379,Static,0.85,Normal
51,Robot,ABB,v2.0,9.943922617965441,10.101521928660112,99.20870768694927,Static,0.64,Normal
52,Actuator,Siemens,v2.0,89.56363695943021,32.48503956739269,44.95035486109802,Mobile,0.76,Degraded
53,Robot,Bosch,v1.0,9.911347684691165,58.48440562284479,47.197749103459856,Mobile,0.67,Normal
54,PLC,Bosch,v1.1,64.07799445297702,83.06458328622678,26.315152235724444,Static,0.85,Normal
55,Robot,Siemens,v2.0,88.61270864739015,73.52956202379247,55.423850923498996,Mobile,0.54,Normal
56,PLC,Siemens,v1.0,25.33030885835368,11.769622348414684,40.88388209878785,Mobile,0.44,Normal
57,PLC,Rockwell,v2.0,17.091196338411677,77.39204535061295,47.47093617421154,Static,0.58,Normal
58,Sensor,Bosch,v1.1,15.317719850906457,68.73988099739694,86.76574322045022,Static,0.68,Normal
59,Robot,ABB,v2.0,30.77838754324562,68.52820926782353,94.83876108219965,Mobile,0.5,Normal
60,Sensor,Rockwell,v2.0,13.588893935904968,44.34968192526786,34.85864576041485,Mobile,0.61,Normal
61,Robot,Siemens,v2.0,63.83371404400121,39.85039697158771,49.80071452427727,Mobile,0.64,Normal
62,Robot,Siemens,v2.0,10.29480284105533,32.71867966248945,94.29044496923153,Static,0.43,Normal
63,Sensor,Bosch,v1.0,48.300880892732124,14.927114421577432,24.94467685513781,Static,0.75,Normal
64,Sensor,Siemens,v1.0,89.71923257750302,27.117652262027434,27.38884224891028,Static,0.93,Fault
65,Robot,ABB,v1.1,74.1874729080116,28.49527262335185,33.023279136498346,Static,0.49,Normal
66,Actuator,Bosch,v1.0,57.293652249635926,46.30578022826512,67.61702673014997,Mobile,0.76,Normal
67,PLC,Siemens,v1.0,31.03155776686199,66.05833049475206,32.037781680479796,Static,0.8,Normal
68,Sensor,Bosch,v1.1,58.03114608478927,45.535737129846,97.44611051605868,Static,0.65,Degraded
69,PLC,Siemens,v1.0,49.79852443249039,14.338333708537046,55.73716218068163,Mobile,0.82,Normal
70,Actuator,Siemens,v1.0,41.217087630681576,81.83423507411528,60.12143682801331,Mobile,0.65,Normal
71,Actuator,Siemens,v1.1,16.110382022916955,80.70432393205841,39.73268926443252,Mobile,0.7,Normal
72,Actuator,ABB,v1.1,80.36135829543967,68.88921573613064,57.67682019477868,Static,0.4,Degraded
73,Sensor,ABB,v1.1,43.23169514981242,84.34959261731655,72.95309061096091,Mobile,0.82,Normal
74,Actuator,Bosch,v2.0,21.542913504765032,50.83617496001972,80.09417095632342,Mobile,0.8,Normal
75,Sensor,Siemens,v2.0,36.259544824569616,82.20762626899045,80.30944661679304,Static,0.42,Degraded
76,Actuator,Siemens,v1.1,40.201028964958795,15.670378046256308,66.23128901552707,Static,0.62,Degraded
77,PLC,ABB,v1.1,75.34072112318431,37.42605611960285,92.34878199950857,Mobile,0.99,Degraded
78,PLC,Siemens,v1.1,67.35722234771917,26.903595100507438,85.39262778448875,Static,0.65,Normal
79,Robot,ABB,v2.0,70.39091595951389,24.687481310070254,80.56384917589003,Mobile,0.7,Normal
80,PLC,Siemens,v2.0,5.937657476435013,20.560221166950704,24.448441734436848,Mobile,0.95,Normal
81,Robot,Bosch,v1.0,40.37308984527973,56.68102311744975,20.550236977571945,Static,0.83,Normal
82,PLC,Siemens,v1.0,45.914252889002505,68.59913918104789,36.995782175637835,Mobile,0.75,Normal
83,Sensor,Siemens,v1.1,6.6313435299598185,53.37237995652705,73.08188751307618,Static,0.88,Normal
84,PLC,Rockwell,v2.0,27.08412274332791,21.022203219115724,52.89579911060366,Static,0.92,Normal
85,Robot,ABB,v2.0,69.62463496538147,70.83428274501031,52.19250074394494,Static,0.67,Normal
86,Robot,Siemens,v2.0,16.65432498696492,57.69660303727964,90.7669510583691,Mobile,0.69,Normal
87,Actuator,Siemens,v1.1,50.50136117347029,39.112427959524666,91.6450278505471,Static,0.63,Normal
88,Sensor,Rockwell,v1.0,23.29215912146519,60.55977216520472,92.73402112428685,Static,0.98,Normal
89,PLC,Rockwell,v1.1,6.030265844730929,29.492873443212464,45.11024612120218,Mobile,0.82,Normal
90,Actuator,ABB,v1.0,25.502123895961027,35.88941563706579,75.28446501914094,Mobile,0.45,Normal
91,PLC,Rockwell,v1.0,87.94926916735457,78.81143823489927,41.73065450194957,Mobile,0.92,Normal
92,PLC,Bosch,v1.1,73.13065451005411,31.78783792535653,35.24878664595598,Mobile,0.69,Normal
93,Actuator,Rockwell,v1.0,86.56401476728784,45.249120111845244,34.77059658778954,Static,0.44,Normal
94,Actuator,Bosch,v1.0,46.467593733740806,76.7605853047011,47.36860966908752,Static,0.73,Normal
95,Actuator,ABB,v2.0,14.327576887587798,63.07910127006456,54.396609582385736,Static,0.65,Degraded
96,Actuator,ABB,v1.0,51.5765565627639,14.665241962352706,86.47593368440548,Mobile,0.93,Normal
97,Actuator,ABB,v1.1,43.622073437596676,21.047728320922776,29.59128747781697,Mobile,0.52,Normal
98,PLC,ABB,v1.1,76.77035203286735,10.588119307893761,78.79406779159154,Static,0.9,Degraded
99,Actuator,ABB,v1.0,13.33701936666079,57.31913426718725,62.516393135144426,Mobile,0.73,Normal
100,Sensor,Bosch,v2.0,46.50049664685115,43.575506905781374,43.0356274140794,Mobile,0.43,Fault
101,Robot,Bosch,v2.0,17.75413649898866,20.070613817670665,59.42556676262597,Static,0.98,Degraded
102,Actuator,ABB,v1.0,32.5974537856551,81.84505907925778,43.99536558216181,Static,0.71,Normal
103,Actuator,Rockwell,v1.0,67.67535157796297,49.72447929592149,67.68655641906449,Mobile,0.57,Fault
104,PLC,Siemens,v1.1,45.46154099634516,28.14199705846669,54.707513828419536,Mobile,0.68,Normal
105,Actuator,ABB,v1.0,36.95050423739039,47.54526783660307,33.1524423263103,Mobile,0.91,Normal
106,Actuator,Rockwell,v2.0,38.530483678453,60.971524955133084,29.326645964455736,Static,0.58,Normal
107,Actuator,Siemens,v1.0,44.05297531450886,15.717941348017336,63.73565456577041,Static,0.52,Normal
108,PLC,ABB,v1.1,71.72640622614983,30.602786128591898,92.19304266288827,Static,0.48,Degraded
109,Actuator,ABB,v1.1,80.82719855991992,70.52241181629952,47.51661492461484,Static,0.58,Normal
110,Robot,Bosch,v1.1,86.2034483528339,44.474865280199595,78.64000857780985,Static,0.87,Normal
111,PLC,Siemens,v1.1,71.88678783170009,50.99328565242212,72.69290839518135,Mobile,0.68,Normal
112,Robot,Siemens,v1.1,31.809586138581082,42.461200165710196,94.52439314475848,Mobile,0.54,Normal
113,PLC,Rockwell,v1.0,63.49145001735608,13.292495698225384,85.67848138393127,Mobile,0.5,Normal
114,Actuator,Bosch,v1.0,42.19626554470831,22.431233486511694,65.32842071243704,Static,0.6,Normal
115,Robot,Bosch,v1.0,26.64700287391435,43.41562290564182,72.56243985872858,Static,0.96,Degraded
116,PLC,Bosch,v1.0,76.47408425120342,25.688909905594585,91.87091732672279,Static,0.61,Normal
117,Sensor,Bosch,v1.1,8.266239661797625,13.748427149475905,51.96150276695478,Mobile,0.99,Degraded
118,Actuator,Siemens,v2.0,81.649769331511,73.27372480388678,46.143576468622186,Static,0.69,Normal
119,PLC,Siemens,v1.0,44.2255844931024,83.58943968730868,20.86488669081571,Static,0.51,Normal
120,Sensor,ABB,v2.0,59.16212552870384,69.48571554975545,86.12408593531714,Mobile,0.93,Normal
121,PLC,ABB,v1.0,61.04508338749153,74.03386912785002,84.07845603226919,Static,0.68,Normal
122,Sensor,Bosch,v1.0,81.08500796005559,28.148284773778403,28.35636144801211,Mobile,0.83,Normal
123,Actuator,Bosch,v2.0,59.11692298421262,82.04702316348998,66.14859049061602,Static,0.99,Degraded
124,Robot,Bosch,v1.1,57.18435470460525,24.76942783400713,57.11853585335099,Static,0.43,Normal
125,Sensor,ABB,v1.0,10.665423447658647,81.35723577713742,29.496727640728917,Mobile,0.46,Fault
126,PLC,Rockwell,v1.0,49.064681865342344,84.61144704744633,98.44545816485788,Mobile,0.83,Normal
127,Actuator,Rockwell,v1.0,17.76436506944854,63.379210430953655,37.17567099706844,Mobile,0.57,Normal
128,Sensor,ABB,v2.0,67.68187034132627,83.58577988438664,25.37873440724489,Mobile,0.51,Normal
129,PLC,ABB,v1.1,48.53886326907733,52.71548346753278,67.58779036015277,Mobile,0.42,Fault
