action_id,event_id,action_type,execution_slot,enforcement_latency_us,success_flag,affected_flows
1,1,Access Control,59,38.07558007371185,1,33
2,2,Access Control,8,29.99858668163603,1,3
3,3,Isolation,106,31.547068429654047,1,43
4,4,Isolation,1,33.83429113959717,1,28
5,5,Traffic Redirection,58,26.96882736446164,1,29
6,6,Traffic Redirection,5,32.72245957399298,1,3
7,7,Access Control,84,36.836381075977386,1,5
8,8,Traffic Redirection,55,29.885627465402724,1,30
9,9,Traffic Redirection,69,30.52000436649071,1,43
10,10,Isolation,75,35.53061630766624,1,48
11,11,Access Control,64,30.658441089782166,1,3
12,12,Access Control,39,22.573383476396266,1,1
13,13,Traffic Redirection,19,41.21228235295168,1,7
14,14,Isolation,41,27.301418050354343,1,34
15,15,Isolation,117,39.60877293468025,1,15
16,16,Isolation,67,25.11048347843648,1,46
17,17,Traffic Redirection,117,30.35298819368414,1,48
18,18,Traffic Redirection,96,26.65031441640642,1,7
19,19,Traffic Redirection,79,32.819540205042024,1,3
20,20,Traffic Redirection,46,22.9433355276075,1,7
21,21,Traffic Redirection,24,39.288730193337166,1,25
22,22,Isolation,62,30.47526045075257,1,4
23,23,Traffic Redirection,107,37.4883145326897,1,22
24,24,Isolation,123,21.00620554479164,1,20
25,25,Traffic Redirection,20,30.104490061220055,1,27
26,26,Isolation,32,27.82625451231228,1,38
27,27,Access Control,68,26.861736451350424,1,42
28,28,Traffic Redirection,60,39.16850296106838,1,4
29,29,Isolation,57,27.083182148184388,1,30
30,30,Access Control,65,35.89505556055124,1,34
31,31,Access Control,60,35.089991768059576,1,47
32,32,Isolation,73,29.50430010905848,1,3
33,33,Traffic Redirection,66,19.42592550442679,1,10
34,34,Access Control,27,30.369674888660096,0,24
35,35,Isolation,18,36.77059983139828,1,18
36,36,Isolation,62,33.00154860947858,1,41
37,37,Traffic Redirection,64,37.24553989127275,1,49
38,38,Access Control,117,27.49277812992363,1,12
39,39,Isolation,9,27.329074219404355,1,17
40,40,Isolation,39,37.423836915489346,1,14
41,41,Traffic Redirection,8,33.478894983789935,1,34
42,42,Traffic Redirection,76,25.445874517024173,1,49
43,43,Isolation,80,27.68336619200963,1,13
44,44,Access Control,32,29.654131111883217,1,36
45,45,Traffic Redirection,69,27.261964294736416,1,46
46,46,Traffic Redirection,8,36.12998830423223,1,12
47,47,Isolation,45,34.59697724533713,1,8
48,48,Traffic Redirection,55,31.74197263662624,1,38
49,49,Traffic Redirection,111,37.61056385087484,1,32
50,50,Traffic Redirection,34,29.15687022450873,1,5
51,51,Traffic Redirection,113,41.355263180391894,1,23
52,52,Isolation,113,32.39626988517082,1,37
53,53,Access Control,28,29.706338732364483,1,3
54,54,Isolation,27,25.26832016275191,1,46
55,55,Access Control,122,26.436501833554775,1,11
56,56,Isolation,9,34.69360662820516,1,11
57,57,Isolation,110,32.58692587341009,1,34
58,58,Access Control,120,30.213974124861164,1,49
59,59,Traffic Redirection,21,37.7842619270381,1,37
60,60,Traffic Redirection,90,28.86601644895426,1,7
61,61,Traffic Redirection,17,32.86173780927513,1,27
62,62,Access Control,86,23.169716479096476,1,17
63,63,Traffic Redirection,51,36.24765028783413,1,12
64,64,Traffic Redirection,29,29.69642248276898,1,20
65,65,Traffic Redirection,59,31.636835877023707,1,48
66,66,Traffic Redirection,113,31.006101205539185,1,34
67,67,Access Control,89,25.350938975531218,1,11
68,68,Isolation,25,29.345480164669677,1,18
69,69,Isolation,66,30.96460120624674,0,43
70,70,Access Control,107,32.603835030150854,1,3
71,71,Isolation,19,33.25877198916058,1,14
72,72,Isolation,121,34.54068319883241,1,32
73,73,Traffic Redirection,77,32.84272030571022,1,48
74,74,Traffic Redirection,37,30.75269171807139,1,48
75,75,Access Control,110,26.608847740308647,1,35
76,76,Traffic Redirection,51,35.170875410888925,1,47
77,77,Traffic Redirection,38,32.926901870510974,1,15
78,78,Isolation,112,26.607533962853733,1,27
79,79,Isolation,121,38.4618127007909,1,39
80,80,Access Control,37,25.947078564345674,1,30
81,81,Access Control,56,20.092107198623065,1,11
82,82,Traffic Redirection,117,42.07249607234521,1,25
83,83,Traffic Redirection,25,23.692656878676182,1,42
84,84,Traffic Redirection,26,28.049626286548307,1,44
85,85,Traffic Redirection,4,32.22363296795632,1,27
86,86,Isolation,50,31.452130554982013,1,8
87,87,Isolation,87,31.25507461573334,1,27
88,88,Isolation,61,32.624474638177375,1,22
89,89,Traffic Redirection,36,30.562855171484806,1,23
90,90,Traffic Redirection,119,35.19170649315696,1,3
91,91,Isolation,57,30.990970065505497,1,32
92,92,Access Control,45,32.01503829616573,1,12
93,93,Isolation,31,26.976422504295186,1,47
94,94,Access Control,112,30.41696760447296,1,22
95,95,Access Control,40,31.901367471062333,1,38
96,96,Isolation,26,17.47946665137598,1,42
97,97,Traffic Redirection,93,37.214309773994394,1,15
98,98,Access Control,30,41.959930246648796,1,4
99,99,Access Control,121,35.697164974780236,1,10
100,100,Isolation,95,26.461860581576303,1,41
101,101,Isolation,94,24.015945569293464,1,12
102,102,Traffic Redirection,116,32.59486101397211,1,11
103,103,Isolation,118,22.838659342038305,1,32
104,104,Traffic Redirection,114,34.30308810613262,1,29
105,105,Access Control,41,27.86308345084027,1,26
106,106,Access Control,73,34.724619219365,1,9
