event_id,timestamp_ns,device_id,attack_type,traffic_deviation,behavior_anomaly_score,anomaly_label,severity_level
1,178722822,260,Data Injection,2.16,0.7,1,High
2,198813254,760,Spoofing,3.29,0.96,1,High
3,7357099,704,Data Injection,3.42,0.99,1,High
4,197006531,1000,MITM,1.84,0.91,1,Medium
5,88112089,953,Replay,1.57,0.76,1,Medium
6,43821815,361,Data Injection,2.69,0.78,1,Medium
7,56962664,430,Data Injection,0.52,0.83,1,Critical
8,132238204,658,Spoofing,2.12,0.82,1,Medium
9,167535955,904,DoS,2.08,0.91,1,Critical
10,151040225,793,Spoofing,0.85,0.77,1,Critical
11,54880961,865,DoS,1.0,0.6,1,High
12,2761698,954,Replay,3.29,0.67,1,High
13,98398022,603,DoS,0.68,0.6,1,High
14,152327339,152,Replay,1.13,0.7,1,Medium
15,182806934,845,Replay,1.14,0.96,1,Low
16,98777083,953,MITM,1.87,0.94,1,Critical
17,99914435,258,Data Injection,0.68,0.68,1,Medium
18,145972720,140,DoS,1.94,0.62,1,Medium
19,184619049,20,Data Injection,1.7,0.89,1,High
20,120317328,370,MITM,0.97,0.8,1,Low
21,83621618,284,DoS,0.53,0.61,1,Low
22,178976078,99,Spoofing,3.1,0.61,1,Medium
23,35441944,940,Data Injection,2.41,0.8,1,Medium
24,29321595,109,Replay,1.07,0.76,1,Medium
25,42619706,776,Replay,2.78,0.72,1,Medium
26,127545279,94,Replay,2.05,0.74,1,Critical
27,120817569,273,Replay,2.08,0.86,1,Medium
28,171624444,610,Replay,1.19,0.71,1,Medium
29,125729547,682,MITM,1.44,0.89,1,Low
30,35563015,302,Replay,0.58,0.86,1,High
31,131811140,560,Data Injection,0.7,0.69,1,High
32,61898748,893,MITM,2.72,0.7,1,High
33,181297463,374,Replay,3.41,0.69,1,High
34,104032480,543,Spoofing,2.3,0.8,1,Critical
35,120026831,958,Spoofing,3.05,0.88,1,High
36,132584246,997,MITM,3.16,0.64,1,Critical
37,133309121,713,DoS,1.35,0.6,1,High
38,142733055,224,Replay,1.56,0.86,1,Low
39,85588751,316,Replay,3.2,0.71,1,Medium
40,158808383,894,DoS,2.42,0.97,1,Low
41,185535752,643,Data Injection,2.94,0.83,1,High
42,173899513,942,Data Injection,1.43,0.87,1,High
43,153107899,755,DoS,0.78,0.89,1,Medium
44,77412288,671,Data Injection,3.47,0.85,1,Critical
45,61649165,852,Replay,1.08,0.62,1,Low
46,132513788,900,DoS,2.63,0.95,1,Medium
47,199397172,627,Spoofing,0.55,0.7,1,Medium
